alphabet_size,group_size,num_blocks,num_threads,duration,use_shmem,GPU_name
4,2,2176,64,9365096,1,NVIDIA GeForce RTX 2080 Ti
4,2,1088,128,9375774,1,NVIDIA GeForce RTX 2080 Ti
4,2,544,256,9391692,1,NVIDIA GeForce RTX 2080 Ti
4,2,272,512,9413769,1,NVIDIA GeForce RTX 2080 Ti
4,2,136,1024,9454099,1,NVIDIA GeForce RTX 2080 Ti
4,2,4352,64,9499350,1,NVIDIA GeForce RTX 2080 Ti
4,2,2176,128,9497083,1,NVIDIA GeForce RTX 2080 Ti
4,2,1088,256,9480175,1,NVIDIA GeForce RTX 2080 Ti
4,2,544,512,8533152,1,NVIDIA GeForce RTX 2080 Ti
4,2,272,1024,8194937,1,NVIDIA GeForce RTX 2080 Ti
4,2,8704,64,9096760,1,NVIDIA GeForce RTX 2080 Ti
4,2,4352,128,9040737,1,NVIDIA GeForce RTX 2080 Ti
4,2,2176,256,8901568,1,NVIDIA GeForce RTX 2080 Ti
4,2,1088,512,8878581,1,NVIDIA GeForce RTX 2080 Ti
4,2,544,1024,8967105,1,NVIDIA GeForce RTX 2080 Ti
4,2,17408,64,10708510,1,NVIDIA GeForce RTX 2080 Ti
4,2,8704,128,10622770,1,NVIDIA GeForce RTX 2080 Ti
4,2,4352,256,10374622,1,NVIDIA GeForce RTX 2080 Ti
4,2,2176,512,10374892,1,NVIDIA GeForce RTX 2080 Ti
4,2,1088,1024,10475409,1,NVIDIA GeForce RTX 2080 Ti
4,4,1088,64,7666074,1,NVIDIA GeForce RTX 2080 Ti
4,4,544,128,7667667,1,NVIDIA GeForce RTX 2080 Ti
4,4,272,256,7650100,1,NVIDIA GeForce RTX 2080 Ti
4,4,136,512,7621507,1,NVIDIA GeForce RTX 2080 Ti
4,4,68,1024,7625819,1,NVIDIA GeForce RTX 2080 Ti
4,4,2176,64,7838240,1,NVIDIA GeForce RTX 2080 Ti
4,4,1088,128,7840167,1,NVIDIA GeForce RTX 2080 Ti
4,4,544,256,7804043,1,NVIDIA GeForce RTX 2080 Ti
4,4,272,512,7761795,1,NVIDIA GeForce RTX 2080 Ti
4,4,136,1024,7714805,1,NVIDIA GeForce RTX 2080 Ti
4,4,4352,64,8040828,1,NVIDIA GeForce RTX 2080 Ti
4,4,2176,128,8027006,1,NVIDIA GeForce RTX 2080 Ti
4,4,1088,256,8050478,1,NVIDIA GeForce RTX 2080 Ti
4,4,544,512,8049168,1,NVIDIA GeForce RTX 2080 Ti
4,4,272,1024,8028121,1,NVIDIA GeForce RTX 2080 Ti
4,4,8704,64,8604917,1,NVIDIA GeForce RTX 2080 Ti
4,4,4352,128,8587978,1,NVIDIA GeForce RTX 2080 Ti
4,4,2176,256,8570309,1,NVIDIA GeForce RTX 2080 Ti
4,4,1088,512,8588239,1,NVIDIA GeForce RTX 2080 Ti
4,4,544,1024,8705593,1,NVIDIA GeForce RTX 2080 Ti
4,4,17408,64,9917900,1,NVIDIA GeForce RTX 2080 Ti
4,4,8704,128,9879816,1,NVIDIA GeForce RTX 2080 Ti
4,4,4352,256,9821240,1,NVIDIA GeForce RTX 2080 Ti
4,4,2176,512,9818325,1,NVIDIA GeForce RTX 2080 Ti
4,4,1088,1024,10074917,1,NVIDIA GeForce RTX 2080 Ti
4,4,34816,64,12489648,1,NVIDIA GeForce RTX 2080 Ti
4,4,17408,128,12469208,1,NVIDIA GeForce RTX 2080 Ti
4,4,8704,256,12372547,1,NVIDIA GeForce RTX 2080 Ti
4,4,4352,512,12505406,1,NVIDIA GeForce RTX 2080 Ti
4,4,2176,1024,12885489,1,NVIDIA GeForce RTX 2080 Ti
4,8,1088,64,8888318,1,NVIDIA GeForce RTX 2080 Ti
4,8,544,128,8874354,1,NVIDIA GeForce RTX 2080 Ti
4,8,272,256,8846848,1,NVIDIA GeForce RTX 2080 Ti
4,8,136,512,8848877,1,NVIDIA GeForce RTX 2080 Ti
4,8,68,1024,8833243,1,NVIDIA GeForce RTX 2080 Ti
4,8,2176,64,8904550,1,NVIDIA GeForce RTX 2080 Ti
4,8,1088,128,8905400,1,NVIDIA GeForce RTX 2080 Ti
4,8,544,256,8872279,1,NVIDIA GeForce RTX 2080 Ti
4,8,272,512,8856265,1,NVIDIA GeForce RTX 2080 Ti
4,8,136,1024,8842382,1,NVIDIA GeForce RTX 2080 Ti
4,8,4352,64,8984658,1,NVIDIA GeForce RTX 2080 Ti
4,8,2176,128,8950690,1,NVIDIA GeForce RTX 2080 Ti
4,8,1088,256,8978818,1,NVIDIA GeForce RTX 2080 Ti
